;Palavras
adoro estar;1
estar sozinha;1
a sufocar-me;1
@Medeirosbel1 Gabriel;1
Gabriel me;1
me beijou;1
beijou e;1
a audacia;1
audacia de;1
de brincar;1
brincar dizendo;1
q agora;1
sou mais;1
mais bv;1
bv Merda;1
Merda de;3
@renatorbarros Atualização;1
Atualização Secretaria;1
Saúde confirma;1
confirma mais;2
mais 132;1
132 casos;1
coronavírus Número;1
Número total;1
total chega;1
a 816;1
816 Mortes:…;1
@alcrsk 5º;5
5º dia;5
to assim;6
assim das;5
das ideia;8
ideia https://t.co/8UHrMxqIrE;5
@thatyannepereir Corona;1
Corona Vairus;1
Vairus 😷;1
😷 https://t.co/7oARaGRN81;1
@brunawfilipa isto;2
ta bue;2
bue fofinho;2
@EdivanAndrad @MauricioCostaRS;1
@MauricioCostaRS @VendraminiJr;1
@VendraminiJr Não;2
@_OsBeck 🎀De;1
🎀De quarentena;1
estamos e;1
e online;1
online em;2
hora ficaremos;1
ficaremos 🎀;1
🎀 https://t.co/IJ91S1xwuR;1
@liatiaen porra;1
porra corona;4
virus acaba;1
ai p;1
p eu;16
eu gritar;1
gritar isso;1
em churrascao;1
churrascao de;1
de familia;1
familia no;1
no domingo;2
domingo de;3
de tarde;5
tarde q;1
q nois;1
nois espera;1
espera jogo;1
jogo do;4
do flamengo;1
@tomsantos1947 O;2
O estagiário;2
estagiário está;2
está mal;2
mal informado;3
informado ou;2
se fazendo;3
fazendo de;4
de tonto;2
tonto A;2
carreata foi;2
foi muito;2
muito maior;2
maior e;2
tomou conta;2
vários bairros;3
bairros incl…;2
@Grazielysa A;1
A porra;1
corona 😹😹😹#ButecoEmCasa;1
😹😹😹#ButecoEmCasa Eu;1
Eu amo;2
amo um;1
homem https://t.co/T3fVJpfwOe;1
@_Hugoleo13 Dei;1
Dei uma;1
uma escapulida;1
escapulida da;1
para levar;1
levar mimos;1
mimos de;1
Páscoa para;1
meu amorzinho;1
amorzinho 😍❤;1
@casaldurj Essa;1
tá ajudando;1
ajudando ;1
 https://t.co/FqUnL3XtLJ;1
E desde;1
quando tá;1
tá faltando;3
faltando médico;1
médico aqui;1
aqui Pelo;1
Pelo contrário;1
contrário Tá;1
Tá sobrando;1
sobrando com;1
vazios (graças;1
(graças a;1
a Deus);1
Deus) esp…;1
@potterwaynee harry;2
harry coronavirus;2
coronavirus gina;2
gina covid-19;2
covid-19 hermione;2
hermione na;2
é SARS-CoV-2;2
SARS-CoV-2 rony;2
rony coronga;2
coronga luna;2
luna é;2
é fiascurgia;2
fiascurgia draco;2
draco gripe;2
gripe esquisi…;2
@cabanafestrj Saudades;1
minha filha?🥺;1
filha?🥺 https://t.co/OGOGeyRaFl;1
@_peixotoo_ Corona;1
Portugal ta;1
ta tp;1
tp tou;1
tou na;1
na corrida;1
corrida mas;1
mas parece;2
@liviahauiesen Essa;1
@putsflp Parece;1
Parece ironia;1
ironia querer;1
querer ter;1
um emprego;2
emprego no;1
ano da;3
@TheInterceptBr As;1
mortes dependerão;1
dependerão do;1
do tipo;3
social adotado;1
adotado É;1
isso Lombardia;1
Lombardia (só;1
(só com…;1
@BrunoMozka quarentena;1
minha autoestima;6
autoestima https://t.co/ebRdiq3x16;1
@osmarsnsd primeiro;4
quarentena https://t.co/6H5HKKZxI9;4
@carapanarana Mais;4
uma evidência;4
evidência de;6
Corona quer;4
quer morte;4
e caos;4
caos Dos;4
Dos R$;4
R$ 8;4
8 bilhões;4
bilhões anunciados;4
anunciados pelo;4
pelo presidente;4
presidente há;4
há 20;4
20 dias;7
dias ap…;4
@rcalKimJongUn que;2
comércio Inclusive;2
Inclusive Marcos;2
Marcos já;2
já teve;2
teve contato;3
com diversas;2
diversas autoridades;2
autoridades e;4
e políticos;2
políticos brasileir…;2
@6geovana eu;1
ficar até;2
maio em;1
muito pouco;2
pouco tempo;1
tempo do;1
do jeito;4
está até;1
lá vai;1
ter abaixando;1
abaixando bem;1
bem pouco;1
pouco os;1
os casos…;1
@MatheusIerro Sinceramente;2
Sinceramente eu;2
me importo;3
importo se;2
se essas;2
pessoas morrerem;3
morrerem por;3
por covid19;3
minha opinião;3
opinião Inclusive;2
Inclusive em;2
de serem…;2
@itsannalu em;4
vulcão como;4
gente procede;4
procede é;4
to preocupada;4
negócio meus;4
divertidamente mal;4
mal aguentam;4
aguentam uma;4
uma quaren…;4
@teixeira_png COM;1
COM CERTEZA;3
CERTEZA eu;1
faria isso;1
a leticia;1
leticia sem;1
sem dúvida;2
dúvida nenhuma;3
@catvfl kkkkkkkkk;1
@thomazolli_ Gente;1
Gente tem;1
um pessoal;1
pessoal do;5
meu insta;1
insta que;1
não chegou;58
chegou mermo;1
mermo né;1
né sei;1
lá vocês;1
vocês parecem;1
parecem adolescente;1
adolescente irresponsável…;1
@Luciandrade Papo;1
Papo furado;1
furado se;1
se ñ;1
ñ fossem;1
fossem as;3
medidas tomadas;1
tomadas chegaria;1
um milhão;2
mortes no;3
Brasil Então;1
Então pq;1
os países;3
países q;1
ñ impuseram…;1
@gessyckagino PUTZ;3
PUTZ é;3
@JovemFernanDEX Essa;1
corona Se;2
embaixador falou;1
falou tá;1
tá falado;1
@EdivanAndrad @leandroruschel;2
@leandroruschel @VendraminiJr;1
gripezinha criada…;1
@RTaokey 😠;2
😠 Cheio;2
Cheio de;2
de festinhas;2
festinhas perto;2
casa REVOLTANTE;2
REVOLTANTE ISSO;2
ISSO colocam;2
quem respeita;2
da saú…;2
@lauraduartews Nessa;1
fico só;1
só olhando;2
olhando fotos;1
fotos desse;1
tipo sonhando;1
sonhando como;1
como seria;1
seria minha;1
vida morando;1
morando em;1
em lugares;1
lugares assim;1
@Lorenninhaaaa arrumadinha;3
arrumadinha na;3
🥵 https://t.co/vebO1WVwgA;3
@julyasabinom a;1
@figueredo_almir ⚠;2
⚠ ⚠;6
⚠ Aviso;2
Aviso de;2
de alerta;2
alerta ⚠;2
⚠ Tem;2
Tem caroço;2
caroço nesse;2
nesse angu;2
angu 🤔;2
🤔 Quem;2
Quem sabia;2
sabia da;2
da carga;3
carga Local;2
Local da;2
da chegada;4
chegada descarga;2
descarga do;2
material 😎;2
😎 S…;2
@Katlynsilva_OFC Essa;3
desse Corona;3
Vírus -;3
- Gustavo;3
Lima 😂;3
@BernardoMF Coincidências;1
Coincidências Empresário;1
Empresário que;1
que produz;1
produz cloroquina;1
é militante;4
militante bolsonarista;1
bolsonarista https://t.co/aBlXdv4sTf;1
@louiehenrique Na;1
a Glai;1
Glai número;1
número 3;1
3 Enquanto;1
corpo tá;1
sendo engolido;1
engolido pelo;1
pelo sofá;1
sofá a;1
cabeça tá;1
tá furando;2
furando o;1
isolamento de;3
de t…;1
@calmathami @Comedordefogo;1
@Comedordefogo Vejo;1
Vejo gente;1
gente criticando;1
criticando a;21
a postura;1
postura do;5
do médico;1
ao colocar;1
colocar suspeita;1
covid19 Se;1
a paciente;1
é diagnosticada;1
diagnosticada co…;1
@faiska22 saudade;1
@robertabastosn O;1
cara ficou;1
ficou curado;1
curado pela;1
pela substância;1
substância CLOROQUINA;1
CLOROQUINA mas;1
mas também;2
tanto robôs;1
robôs como;1
como primo;1
primo o;1
cara deve;1
ser robô;1
robô também;1
também ht…;1
@mints4taem TAEMIN;1
TAEMIN VEM;1
VEM PRA;1
PRA CÁ;1
CÁ LOGO;1
@Robson_1972 @MarcosQuezado1;2
@MarcosQuezado1 Processem;2
Processem pelo;2
pelo CPF;4
CPF do;4
prefeito e;4
do Governador;3
Governador Só;2
Só os;2
os exames;2
exames vencido;2
vencido em;2
Paulo guardados;2
guardados em;2
em g…;2
@molote_molote O;3
problema dessa;4
dessa galera;4
galera fazendo;3
alguns deles;3
deles podem;3
podem em;3
dias estar;3
estar ocupando;3
ocupando le…;3
@senadorhumberto Enquanto;6
o capacho;6
capacho oficial;6
oficial de;11
Trump @jairbolsonaro;6
@jairbolsonaro quer;6
quer o;10
povo na;6
as escolas;14
escolas reabertas;6
reabertas https…;6
@NatalPrefeitura O;2
O trabalho;4
de higienização;2
higienização dos;2
dos pontos;2
cidade é;3
feito diariamente;2
diariamente pelas;2
pelas equipes;2
URBANA #NatalCon…;2
@MedlenRamos Gusttavo;5
lima no;5
da live;11
live *musica;5
*musica gospel*;5
gospel* gusttavo;5
lima meia;5
meia hora;5
hora depois;5
depois essa;5
@alncffff tudo;1
brasileiro está;1
quarentena kk;2
@kezcot @agebrasil213;1
@agebrasil213 @RightNews12;1
@RightNews12 Analise;1
Analise se;3
o Isolamento;3
Isolamento Horizontal;3
Horizontal imposto;3
imposto pelo;3
Catarina está;3
está surtindo;3
surtindo efeito;3
efeito n…;1
@Babyaneg Gente;1
só só;1
quero sair;42
sair encher;1
encher minha;1
cara beija;1
beija na;1
boca transar;1
transar eu;1
@tedescosmia bióloga;1
bióloga em;1
em formação;1
formação descobre;1
quarto pois;1
pois nao;1
aula ead;1
@jackedosil Covid;2
Covid tu;2
tu me;4
me impediste;2
impediste de;2
de comungar;2
comungar fisicamente;2
fisicamente do;2
do senhor;6
estar de;5
mais intima;2
intima do;2
senhor no;2
no altar;2
altar da;2
da eucaristia....…;2
@dudaszh O;1
@desinstinto Eu;2
Eu em;4
acabar https://t.co/rPVF3gZEXu;2
@emerluis Está;1
Está isolado;1
isolado com;1
esposa em;1
em Ávila;1
Ávila na;1
Espanha onde;2
onde foi;1
foi estudar;1
estudar música;1
música barroca;1
barroca Foi;1
Foi em;1
dezembro e;1
corona os;1
os pegou…;1
@emirsader VÍDEO;10
coronavírus https://t.co/h1D5Xy…;10
@thaaynamota_ Evite;2
Evite aglomerações;3
só cmg;3
cmg bb;2
@1Kauandaitx Linda;1
Linda que;1
o primo;4
@kezcot Analise;2
efeito no;2
à transmissão;8
transmissão do…;2
@biameubeck essa;1
vai destruir;4
destruir o;6
o RESTO;1
RESTO de;1
de sanidade;3
mental que;1
@godoisaa essa;1
essa PORRA;1
PORRA desse;1
@SocorroRamalh12 Eu;2
Eu sabia;2
filho já;2
bem Deus;3
Deus nunca;2
deixa confundida;2
confundida por;2
isso creio;2
creio em;2
as revelações;2
revelações que;2
ele me…;2
@mcjanao Dos;1
Dos mesmos;1
mesmos criadores;2
criadores de;2
o grêmio;1
grêmio me;1
beber Vem;1
Vem aí;1
@EdivanAndrad @caprafrag;1
@caprafrag @robsontpminas;1
@robsontpminas Não;2
criada pel…;2
@biatleus serio;1
serio se;1
estender por;1
mês eu;1
acordo morta;1
morta algum;1
dia nao;1
@BlogdoNoblat 19;1
19 Jacobin;1
Jacobin Magazine;1
Magazine Numa;1
Numa pandemia;1
mais perigoso;1
perigoso do;1
nunca https://t.co/5yCUqendhZ;1
https://t.co/5yCUqendhZ 20;1
20 TIME;1
TIME -;9
O presi…;1
@Jplyraa Queria;1
Queria ficar;2
ficar bebo;1
bebo a;1
não lembrar;2
lembrar que;2
tô em;1
@crf_ian Pelo;1
menos nessa;1
to percebendo;1
percebendo que;1
o unico;72
unico gado;1
gado do;1
mundo obrigado;1
obrigado por;3
por me;4
me confortar;1
confortar assim;1
@Creedmrm Saudades;1
Saudades quando;1
quando achamos;1
achamos q;1
só 15;1
@interdamazonia Embaixada;1
da #Itália;1
#Itália no;1
no #Brasil;1
#Brasil pede;1
o #Brasil;2
#Brasil o;1
possível devido;1
devido o;3
da pandemi…;1
@TonyStarkMeta Como;1
os CURVAPLANISTAS;1
CURVAPLANISTAS ;1
que acreditavam;1
acreditavam no;1
no achatamento;1
curva com;463
@Shimon_Kepha Colocou;1
Colocou a;1
máscara direitinho;1
direitinho estou;1
estou até;1
até orgulhoso;1
orgulhoso Como;1
Como eles;1
eles crescem;1
crescem tão;1
tão rápido;1
rápido aaaa;1
@bbcbrasil Se;6
não entrar;6
pandemia ela;49
ela causa;6
causa mais;6
mais problemas;6
problemas e;6
mais danos;6
econômicos resume;6
resume o;6
o economi…;6
@RilarySampaio3 Esse;1
Esse vai;2
meu anoooooo;1
anoooooo 4;1
4 meses;1
meses depois;1
depois -;1
Queimadas -Possivel;1
-Possivel 3°Guerra;1
3°Guerra mundial;1
- barulho;1
no céu…;1
@NacoesUnidas Estudando;4
Estudando o;4
o passado;5
passado podemos;4
podemos aprender;4
aprender lições;4
lições p;4
p lidar;4
os problemas;5
problemas do;4
do presente;4
presente Bibliotecas/arquivos/museus;4
Bibliotecas/arquivos/museus são;4
são funda…;4
@cretinatina Essa;1
Essa QUARENTENA;1
QUARENTENA ta;1
me tornando;3
tornando uma;2
uma mendiga;1
@mtsss Essa;1
@MuriloJoaquim3 gusttavinho;1
gusttavinho pistolo;1
pistolo com;1
@pakyaro Páscoa;1
Páscoa ainda;1
nem chegou;1
só vejo;4
vejo amêndoas;1
amêndoas no;1
@biancag____ A;1
quarentena mexe;1
mexe cm;1
pessoas KKKK;1
@davifarias22cm O;2
O puto;2
puto veio;2
veio aqui;3
aqui nessa;2
eu meti;2
meti gostoso;2
gostoso no;2
no cuzinho;2
cuzinho guloso;2
guloso dele;2
dele Gostaram;2
Gostaram seus;2
seus safados;2
safados 🤤;2
🤤 DEEM;2
DEEM 🙏🏻😘;2
🙏🏻😘 @br…;2
@andressaamuller na;1
moral que;1
ódio de;3
quem desrespeita;1
ódio são;1
os MESMOS;1
MESMOS q;1
q vao;1
vao p;1
p internet;1
internet falar;1
falar ain;1
ain +;1
+ empatia;1
empatia gente…;1
@alvarocdias Quero;1
Quero agradecer;1
agradecer aqui;1
de público;1
público à;1
à Ginga;1
Ginga Bebidas;1
Bebidas Alesat;1
Alesat Combustíveis;1
Combustíveis Ster;1
Ster Bom;1
Bom Usina;1
Usina Vale;1
Vale Verde;1
Verde e;1
ao amigo;1
amigo Marcelo;1
Marcelo Alecri…;1
@najuumatos Gente;2
Gente de;2
de onde;3
onde vcs;2
vcs tiraram;3
tiraram essa;3
é renovação;2
renovação Tiraram;2
Tiraram essa;2
do cu;5
cu Que;2
Que porra;2
de renovação;3
renovação caralho,…;2
@eubydoo Foda;1
Foda num;1
num e;1
foda mesmo;1
e ser;2
ser pobre;1
@euvulcanica o;1
o olhinho;1
olhinho fechado;1
fechado uma;1
uma mão;1
mão a;1
a cerveja;1
cerveja a;1
a outra;3
outra no;1
no peito;1
@evertongomesrj Pedido;4
Pedido de;5
um policial;4
policial FICA;4
CASA entenda;4
entenda os;4
os motivos;5
motivos 1-Não;4
1-Não temos;4
opção de;5
nossas famílias;4
famílias em;4
@_anasclara #NewProfilePic;1
#NewProfilePic bonita;1
bonita demais;1
quarentena https://t.co/vna8u9j0d9;1
@ibarbosacrf Tá;2
Tá mais;2
fácil eu;2
eu morrer;3
que de;82
@LaisaKauane1 Vou;1
acabar lansando;1
lansando a;1
braba por;1
é isto;2
isto https://t.co/cCd8pfSsgq;1
@J_LIVRES [CORONAVÍRUS];11
[CORONAVÍRUS] [EUA];11
[EUA] Estados;11
Unidos batem;11
batem o;11
mundo Até;11
Até o;31
pessoas já…;11
@kribshna A;7
A live;8
Marrone foi;7
eu precisei;7
precisei nessa;7
quarentena https://t.co/mBJOTr6L3f;7
Uip fala;2
que usa;2
usa cloroquina;3
nos pacientes;4
pacientes dele;2
dele que;2
estão internados;2
internados mais;2
Mandetta não;3
não permi…;2
@evertongomesrj 2-Lembrando;1
2-Lembrando que;1
apenas no;1
Rio já;1
foram mais;2
de 300;1
300 agentes;1
agentes da;1
da segurança;1
segurança pública;1
pública afastado;1
afastado das;1
ruas por;1
por suspeita;1
@eclatedson_trx Convido-vos;3
Convido-vos para;3
dia 14;3
14 de;3
Abril Art;3
Art by;3
by @AnderssonSamD1;3
@AnderssonSamD1 #ModoQuarentena;3
#ModoQuarentena #StaySafe;3
#StaySafe #FiquemEmCasa…;3
@asudemets Quarentena;1
Quarentena ta;8
@FilipePenoni @meninoav;1
@meninoav GUSTTAVO;1
GUSTTAVO LIMA;6
LIMA 20h33;1
20h33 -;1
- Pisa;1
Pisa na;1
cabeça da;7
da serpente;6
serpente 20h47;1
20h47 -;1
- Cadê;1
letra buceta;1
buceta 20h50;1
20h50 -;1
- Começou;1
beber e;8
e rir;1
rir 20…;1
@cabrita_diana Esta;1
@ArleteKN AQUI;1
AQUI ELE;1
ELE DIZ;1
DIZ O;1
O SEGUINTE;2
SEGUINTE “RETWEET;1
“RETWEET 5G;1
5G é;2
verdadeiro assassino;1
assassino silencioso;1
silencioso não;1
Corona Virus;1
Virus ;1
@Raife_Sales A;2
A matéria;3
matéria Mãe;2
Mãe e;2
e filha;2
filha vendem;2
vendem máscaras;2
e valor;2
valor é;2
é revertido;2
revertido para;2
para campanha;2
campanha no;12
no Alemão;2
Alemão do;2
do @vozdacomunidade;2
@vozdacomunidade contou;2
contou com;2
essas p…;2
@porguibi Essa;2
virus Podia;2
ser eu;6
eu falando;2
falando mas;2
@duzisky queria;1
queria terminar;1
escola logo;1
logo obg;1
obg corona;1
veio em;1
em ótima;1
ótima hora;1
@WanmingYang Com;3
Com ajuda;3
ajuda do;3
Consulado Geral;3
Geral da;3
China os;3
profissionais chineses;3
chineses da;3
saúde realizaram;3
realizaram um;3
um webinar;3
webinar com;3
profissionais médic…;3
@freirevans ESSA;1
CORONA AÍ;1
AÍ KKKKKKKKK;1
KKKKKKKKK A;1
GENTE PUTO;1
PUTO #ButecoBohemiaEmCasa;1
@tomoumalandrol Morrer;1
Morrer de;1
corona ou;2
tédio Eis;1
Eis a;27
@bobdaslabaredas a;1
a gravidade;7
gravidade das;1
coisas e;3
ai incluimos;1
incluimos o;1
coronavirus vai;4
de acordo;2
que bolsonaro;1
bolsonaro diz;1
diz se;1
ele dissesse;1
dissesse que;2
que coron…;1
@brunacosme1 essa;1
corona kkkksksksksskksks;1
@Px_sonsinha A;1
A mina;1
mina falou;1
falou se;1
se pegar;1
pegar coronavirus;2
coronavirus ela;1
ela morre;1
morre nn;1
nn morreu;1
morreu até;1
agr pegando;1
pegando marido;1
marido dos;1
outros euhem;1
@MyCury @marceloramosam;1
@marceloramosam Sai;1
Sai de;1
de Retro,Mulamas;1
Retro,Mulamas Vc;1
Vc faz;1
do Grupo;1
Grupo Senadores;1
Senadores que;1
torce pelo;1
vírus Chinês;1
Chinês Volta;1
Volta para;1
@ninguem_anyone @ronaldocaiado;2
@ronaldocaiado @jairbolsonaro;7
@tarcisiogdf Esses;2
Esses desgovernadores;6
desgovernadores falsos;2
falsos eleitoreiros;2
eleitoreiros na;4
aperto pe…;2
@ch4erv vc;2
vc ja;3
ja me;3
me encheu;5
encheu a;4
a paciencia;2
paciencia quarentena;2
quarentena https://t.co/I0RNI98g34;2
@mrkau_ Essa;1
vírus @saantooos__;1
@Sonhoow_ To;2
To cabeludo;2
cabeludo barbudo;2
barbudo e;2
e gordo;2
gordo Obrigado;2
quarentena 👍🏿;2
@LusSilv92248889 encontrei;1
encontrei um;1
um texto;1
texto q;1
q te;2
te escrevi;1
escrevi e;1
te enviei;1
enviei pq;1
pq nesta;1
nesta merda;1
a vir;1
vir tudo;1
tudo outra;1
outra vez;3
@pradolaz @monicabergamo;1
@monicabergamo Há;1
Covid-19 Trata-se;1
Trata-se do;1
do Bovid-17;1
Bovid-17 que;1
que tenta;1
tenta mutar;1
mutar para;1
o Bovid-38;1
Bovid-38 Se;1
não elimin…;1
@_bschaefer Quarentena;1
mulher triste;1
triste tá;1
@JessePortalet 'Quarentena;19
'Quarentena acabou;19
Eu https://t.co/QB0aQtIpCn;19
@YourAnonNewsBR O;1
Brasil #OpCovid19;1
#OpCovid19 https://t.c…;1
@eujadevicente @QuirinoDebora_;1
@QuirinoDebora_ Essa;1
aí aí;1
aí kkkkk;2
@TatiNefertari Ou;1
Ou vamos;1
vamos morrer;2
coronavirus ou;5
ou vamos;2
morrer nas;1
mãos do;1
do #BolsonaroGenocida;1
#BolsonaroGenocida https://t.co/gi0bw3oiwK;1
@clara_chaguri como;5
pessoas conseguem;5
conseguem fazer;5
fazer role;5
role em;8
n ter;5
de ressentimento;5
@estranhous ESSA;3
DE CORONAVIRUS;9
CORONAVIRUS ESTRAGOU;3
ESTRAGOU TUDO;3
TUDO #ButecoBohemiaEmCasa;3
@MirianDias41 @leandroruschel;1
@leandroruschel Isso;1
Isso aqui;3
aqui https://t.co/BxOJON5rN3;1
@patmoura69 Bka;1
Bka tarde;1
tarde Domingou;1
Domingou ✨vai;1
✨vai ter;1
ter cam4;1
cam4 hoje;1
hoje estou;1
vocês 😍abre;1
😍abre a;1
foto pra;1
de vocês😈😌;1
vocês😈😌 #linger…;1
@karol_p28 Olha;1
essa perfeição;1
perfeição 😻😻;1
@hugoalbuquerque Bolsonaro;14
Bolsonaro dizia;14
esquerda voltasse;14
voltasse ao;14
ao poder;14
poder na;14
Argentina os;14
os argentinos;14
argentinos iam;14
iam tentar;14
tentar entrar;14
entrar no;17
como refug…;14
@cegadede Quanto;1
vai demorar;2
demorar pro;1
pro Carluxo;1
Carluxo e;1
e exército;2
de robôs;1
robôs começar;1
a espalhar;1
espalhar que;1
a causa;2
os sinais;1
sinais 5G;1
@colemarkin 10°;1
10° dia;1
| Versão;1
Versão banheiro;1
banheiro https://t.co/Jp12Jvzgpt;1
@BlogdoNoblat 17;1
17 The;1
The Sydney;4
Sydney Morning;4
Morning Herald;4
Herald (Austrália);4
(Austrália) Bolsonaro;4
Bolsonaro joga;4
joga com;4
pandemia https://t.co/SZvjn3uSA…;1
@crysssjl filha;1
puta de;2
@lari__sales essa;2
@Artner_ Até;1
a nuvem;1
você saindo;1
role Fica;1
@Alessandraray7 quarentena;1
@pammalves se;1
se uma;2
uma dessas;1
dessas pessoas;2
me falar;1
falar q;1
q quer;1
quer atuar;1
atuar na;1
área biológica;1
biológica eu;1
eu taco;1
taco o;1
o livro;1
livro de;3
de biologia;1
biologia na;1
@joomikhail #FicaEmCasa;1
#FicaEmCasa Não;1
gripezinha ;2
 Ignore;1
Ignore o;1
o sociopata;1
sociopata brasileiro;1
brasileiro ;1
 https://t.co/JH4w29HH0a;1
@gabriel_ramos28 Vamos;1
Vamos buscar;1
buscar um;1
um tratamento;1
tratamento Estudos;1
Estudos clínicos;1
clínicos mostram;1
Cloroquina Bola;1
Bola pra;1
pra frente;1
frente fiquem;1
estão s…;1
@izabellapena1 Trudeau;2
Trudeau o;2
o Primeiro;4
Primeiro Ministro;2
Ministro do;23
do Canada;2
Canada disse;2
disse nessa;2
nessa sexta;2
sexta que;2
voltar à;3
à vida;3
vida normal;4
normal sem;2
sem uma;8
vacina contra…;2
@heldersalomao Deveríamos;1
Deveríamos estar;1
estar todos;1
todos preocupados;1
preocupados em;1
em concentrar;1
concentrar esforços;1
esforços no;1
no enfrentamento;1
#coronavirus Mas;1
o presidente…;1
@unidavidce Passando;2
Passando pra;5
pra dizer;3
